Fecha,Indice Nacional de Precios al Consumidor y sus Componentes.
Sep-1985,0.660752314214
Oct-1985,0.685852223117
Nov-1985,0.717495124989
Dic-1985,0.766340130589
Ene-1986,0.834092231385
Feb-1986,0.871174477438
Mar-1986,0.911666716794
Abr-1986,0.959263111458
May-1986,1.012570098709
Jun-1986,1.077566644336
Jul-1986,1.131332892509
Ago-1986,1.221531243274
Sep-1986,1.294811669373
Oct-1986,1.368824029453
Nov-1986,1.461304324342
Dic-1986,1.576734625864
Ene-1987,1.704401292796
Feb-1987,1.827386390111
Mar-1987,1.948152699385
Abr-1987,2.118606459727
May-1987,2.278325058842
Jun-1987,2.443145732803
Jul-1987,2.641021526516
Ago-1987,2.856871548641
Sep-1987,3.045081394803
Oct-1987,3.298844633532
Nov-1987,3.560511422667
Dic-1987,4.086392458601
Ene-1988,4.71824593565
Feb-1988,5.111783040072
Mar-1988,5.373547425586
Abr-1988,5.538940736801
May-1988,5.646108688216
Jun-1988,5.761292136539
Jul-1988,5.857456543164
Ago-1988,5.91134334273
Sep-1988,5.945139022079
Oct-1988,5.990486483082
Nov-1988,6.070654346548
Dic-1988,6.197316385718
Ene-1989,6.349023792963
Feb-1989,6.435183542509
Mar-1989,6.504944898829
Abr-1989,6.602224444704
May-1989,6.69309876915
Jun-1989,6.77438463671
Jul-1989,6.842148217605
Ago-1989,6.907332775747
Sep-1989,6.973392795002
Oct-1989,7.076525015223
Nov-1989,7.175855437159
Dic-1989,7.418029578732
Ene-1990,7.776037301728
Feb-1990,7.952119853776
Mar-1990,8.09230991966
Abr-1990,8.215471549391
May-1990,8.358837675672
Jun-1990,8.542938589472
Jul-1990,8.698734833726
Ago-1990,8.846950441605
Sep-1990,8.973061368705
Oct-1990,9.102059887647
Nov-1990,9.343723102676
Dic-1990,9.638213953861
Ene-1991,9.883879894801
Feb-1991,10.056424721909
Mar-1991,10.199839643789
Abr-1991,10.306687551198
May-1991,10.407441671111
Jun-1991,10.516647583476
Jul-1991,10.609584269262
Ago-1991,10.683422977312
Sep-1991,10.789850374312
Oct-1991,10.915342738584
Nov-1991,11.186374096785
Dic-1991,11.449679866826
Ene-1992,11.657778465389
Feb-1992,11.795900435066
Mar-1992,11.91594772029
Abr-1992,12.022171319641
May-1992,12.101437891772
Jun-1992,12.183345192186
Jul-1992,12.26027241452
Ago-1992,12.335592231401
Sep-1992,12.442896524527
Oct-1992,12.532493537792
Nov-1992,12.636620340688
Dic-1992,12.816553481441
Ene-1993,12.977319763867
Feb-1993,13.083345310799
Mar-1993,13.159593689429
Abr-1993,13.235480403514
May-1993,13.31113748973
Jun-1993,13.385797123244
Jul-1993,13.450123440421
Ago-1993,13.522112194855
Sep-1993,13.622260672231
Oct-1993,13.677973025024
Nov-1993,13.738302356338
Dic-1993,13.843054897126
Ene-1994,13.950374980567
Feb-1994,14.022124062044
Mar-1994,14.094224762979
Abr-1994,14.163251304932
May-1994,14.231682244253
Jun-1994,14.302894568965
Jul-1994,14.366326769868
Ago-1994,14.433286645444
Sep-1994,14.535936644548
Oct-1994,14.612245304055
Nov-1994,14.690360856448
Dic-1994,14.819204368159
Ene-1995,15.3769909443
Feb-1995,16.028707348709
Mar-1995,16.97361720295
Abr-1995,18.326133255311
May-1995,19.092090190992
Jun-1995,19.698024268685
Jul-1995,20.099588355294
Ago-1995,20.43298126571
Sep-1995,20.85564253013
Oct-1995,21.284762116615
Nov-1995,21.809608384348
Dic-1995,22.520167271192
Ene-1996,23.329753761294
Feb-1996,23.874262028762
Mar-1996,24.399825880353
Abr-1996,25.093449617204
May-1996,25.550842302962
Jun-1996,25.966901728547
Jul-1996,26.336030688063
Ago-1996,26.68607171493
Sep-1996,27.112751490397
Oct-1996,27.451167539621
Nov-1996,27.867083448434
Dic-1996,28.759336453704
Ene-1997,29.49888602886
Feb-1997,29.994598091509
Mar-1997,30.367889073663
Abr-1997,30.695971811729
May-1997,30.976119445603
Jun-1997,31.250956912308
Jul-1997,31.523211040861
Ago-1997,31.803502196688
Sep-1997,32.199612588994
Oct-1997,32.456940823078
Nov-1997,32.820042010844
Dic-1997,33.279874507621
Ene-1998,34.00392411086
Feb-1998,34.599237843853
Mar-1998,35.004533397604
Abr-1998,35.332042063402
May-1998,35.613481363762
Jun-1998,36.034420411382
Jul-1998,36.38187811046
Ago-1998,36.731632103784
Sep-1998,37.327376387091
Oct-1998,37.862268927258
Nov-1998,38.532786225594
Dic-1998,39.472974324694
Ene-1999,40.46977028054
Feb-1999,41.013642812364
Mar-1999,41.394683783067
Abr-1999,41.774576609237
May-1999,42.02587707675
Jun-1999,42.302006204759
Jul-1999,42.581579771548
Ago-1999,42.821255256238
Sep-1999,43.235018392757
Oct-1999,43.508851226519
Nov-1999,43.89577644702
Dic-1999,44.335516388566
Ene-2000,44.930830116378
Feb-2000,45.329380314522
Mar-2000,45.580680782035
Abr-2000,45.840018271642
May-2000,46.011379073729
Jun-2000,46.283920241006
Jul-2000,46.464466209718
Ago-2000,46.719785188278
Sep-2000,47.061071604015
Oct-2000,47.385135825853
Nov-2000,47.790287862833
Dic-2000,48.307671180741
Ene-2001,48.575476247934
Feb-2001,48.543328159565
Mar-2001,48.850887781724
Abr-2001,49.097308632383
May-2001,49.209970463625
Jun-2001,49.326363767192
Jul-2001,49.19820196403
Ago-2001,49.489687547186
Sep-2001,49.950381149772
Oct-2001,50.176135367754
Nov-2001,50.365148908872
